,Name,Nationality,Club,Age,BP,Position,Total Stats,OVA,POT,Height,Weight,foot,Value,Wage
11671,H. Duljević,Bosnia Herzegovina,Nîmes Olympique,26,CAM,ST LM,1821,67,68,185.42,84.82,Right,900000,8000
11672,L. Fiordilino,Italy,Venezia FC,22,CDM,CM RM,1939,69,78,177.8,68.04,Right,1600000,2000
11673,I. Kanu,England,Peterborough United,20,ST,ST RM,1500,60,75,182.88,74.84,Right,450000,2000
11674,A. Gnahoua,France,Bolton Wanderers,28,ST,ST LM,1598,62,62,185.42,79.83,Left,325000,4000
11675,S. Moutoussamy,DR Congo,FC Nantes,23,CAM,CM CDM LB,1817,70,75,175.26,72.12,Left,2300000,12000
11676,S. Lusiusz,Poland,Cracovia,20,CDM,CM CDM,1681,63,75,180.34,68.95,Right,650000,2000
11677,O. Alderete,Paraguay,FC Basel 1893,23,CB,CB,1858,74,83,187.96,77.11,Left,8000000,12000
11678,I. Boye,Nigeria,Örebro SK,23,ST,ST,1363,58,66,187.96,82.1,Right,190000,950
11679,A. Jakubech,Slovakia,KV Kortrijk,23,GK,GK,1000,69,75,187.96,82.1,Right,1100000,4000
11680,N. Zanellato,Italy,Crotone,22,CAM,CM,1653,61,72,187.96,79.83,Right,425000,2000
11681,N. Perry,Sweden,Östersunds FK,20,RM,LM ST,1422,61,73,175.26,69.85,Right,450000,750
11682,Wen Jiabao,China PR,Shanghai Greenland Shenhua FC,21,LM,LB LWB,1432,53,61,177.8,64.86,Left,80000,2000
11683,F. Boló,Argentina,Cusco FC,26,RM,RM LM LW,1664,64,65,170.18,69.85,Left,525000,500
11684,N. Menéndez,Argentina,San Martin de Tucumán,24,RB,RB RM,1512,62,67,165.1,63.96,Right,350000,2000
11685,André Sousa,Portugal,Vitória de Setúbal,21,LB,LB,1761,67,76,175.26,67.13,Left,1100000,2000
11686,Rubio,Spain,Cracovia,25,ST,ST,1509,62,66,182.88,68.95,Right,400000,2000
11687,B. Figueroa,Chile,Audax Italiano,21,RM,RM RW,1569,61,75,180.34,72.12,Right,550000,900
11688,R. Souici,France,AS Saint-Étienne,22,CAM,CM,1595,57,68,182.88,71.21,Right,170000,4000
11689,J. Tell,France,Clermont Foot 63,23,ST,ST LM RM,1576,63,71,185.42,73.94,Right,550000,2000
11690,A. Semprini,Italy,Brescia,22,LB,LB RB,1633,63,69,182.88,74.84,Right,450000,6000
11691,R. Porteous,Scotland,Hibernian,21,CB,CB,1493,67,81,185.42,73.03,Right,1600000,2000
11692,I. Faraj,France,Royal Excel Mouscron,21,CAM,RM,1544,65,74,177.8,63.96,Right,850000,2000
11693,E. Alderete,Argentina,Chacarita Juniors,21,ST,ST LW,1444,60,68,175.26,69.85,Right,300000,2000
11694,C. Tilt,England,Rotherham United,28,CB,CB,1383,64,65,187.96,74.84,Left,450000,9000
11695,P. Ruiz,Argentina,Real Salt Lake,21,LWB,LB CDM,1632,63,75,172.72,68.04,Left,600000,1000
11696,J. Beste,Germany,SSV Jahn Regensburg,21,LWB,LB,1643,64,74,175.26,63.96,Left,650000,2000
11697,M. Nzola,France,Spezia,23,ST,ST RW,1696,68,75,185.42,82.1,Left,1300000,15000
11698,S. Niakaté,France,En Avant de Guingamp,20,CB,CB LB,1530,66,76,182.88,76.2,Left,950000,2000
11699,F. Wadja,Cameroon,FC Lorient,25,CB,CDM CM,1744,68,74,185.42,83.01,Right,1100000,10000
11700,B. Sass-Davies,Wales,Crewe Alexandra,20,CB,CB,1213,51,68,185.42,78.93,Right,80000,1000
11701,Ander Guevara,Spain,Real Sociedad,22,CM,CM CDM,1817,72,81,180.34,73.03,Right,4700000,17000
11702,F. Gorriarán,Uruguay,Santos Laguna,25,CM,CM CDM,2029,75,78,167.64000000000001,68.04,Right,8000000,23000
11703,T. Wilson,Republic of Ireland,Waterford FC,20,LB,LB,1437,57,68,172.72,66.22,Left,160000,500
11704,L. Candellone,Italy,Pordenone,21,ST,ST LW,1637,65,75,185.42,79.83,Right,875000,800
11705,V. Demaku,Austria,FK Austria Wien,20,CDM,CDM CM,1608,65,75,180.34,68.04,Right,800000,3000
11706,F. Bersano,Argentina,Club Atlético Talleres,22,LB,LB,1546,65,76,167.64000000000001,68.95,Left,850000,3000
11707,M. Naji,Saudi Arabia,Al Fateh,26,CB,CB CDM,1593,59,64,175.26,74.84,Right,180000,4000
11708,A. Paschalakis,Greece,PAOK,30,GK,GK,1209,73,73,198.12,92.08,Right,2700000,500
11709,L. Gibson,England,Reading,19,CB,CB LB,1420,60,76,185.42,73.03,Left,425000,1000
11710,I. Wadji,Senegal,FK Haugesund,25,ST,ST,1610,63,67,175.26,73.94,Right,475000,1000
11711,E. Marković,Norway,IK Start,21,CAM,CAM CM,1581,61,73,180.34,76.2,Right,450000,600
11712,L. Woolfenden,England,Ipswich Town,21,CB,CB,1505,65,77,193.04,78.93,Right,900000,2000
11713,A. Katranis,Greece,Hatayspor,22,LB,LB,1710,66,75,177.8,73.03,Left,900000,4000
11714,O. Özdemir,Turkey,Denizlispor,22,RB,RB LB,1625,65,72,177.8,77.11,Right,675000,5000
11715,T. Okou,France,LOSC Lille,22,CAM,CAM,1386,54,65,165.1,63.96,Left,120000,4000
11716,F. Arhin,Ghana,Östersunds FK,21,CAM,CAM ST,1581,61,72,165.1,64.86,Left,425000,750
11717,A. Gomes,England,Boavista FC,19,CAM,CAM LM,1753,67,84,167.64000000000001,60.78,Right,1600000,2000
11718,J. Bohui,England,Manchester United,19,RW,LW ST RW,1638,64,78,175.26,74.84,Right,975000,10000
11719,I. Boonen,Belgium,KV Oostende,21,CAM,CAM RW ST,1661,64,72,180.34,71.21,Left,675000,2000
11720,E. Hamilton,Scotland,Peterborough United,21,ST,CM CDM,1777,64,77,187.96,74.84,Left,850000,2000
11721,C. Whelan,England,Oldham Athletic,21,CDM,CDM CM,1681,63,73,172.72,69.85,Right,550000,2000
11722,M. Ebiye,Nigeria,Lillestrøm SK,22,ST,ST,1576,60,68,185.42,74.84,Right,300000,950
11723,M. Fouzair,Morocco,Al Raed,28,RM,RM LM,1706,71,71,167.64000000000001,68.95,Right,2400000,14000
11724,M. Ahlinvi,France,Nîmes Olympique,20,CDM,CDM LB,1602,60,71,182.88,68.04,Left,325000,2000
11725,F. Rohner,Switzerland,FC Zürich,21,RM,RM RB LM,1481,58,70,177.8,68.04,Right,230000,2000
11726,E. Chapman,England,Lincoln City,18,LM,CM,1587,59,77,190.5,76.2,Left,325000,750
11727,O. Güçtekin,Turkey,Atiker Konyaspor,21,CM,CDM,1634,63,73,172.72,71.21,Right,550000,2000
11728,G. Bouzoukis,Greece,Panathinaikos FC,22,CAM,CAM RM,1768,70,77,172.72,67.13,Left,2500000,500
11729,D. Adshead,England,Norwich City,17,CAM,CM,1521,57,76,177.8,69.85,Right,200000,900
11730,D. Emmanouilidis,Greece,Panathinaikos FC,19,RW,RM LM,1432,62,76,175.26,71.21,Right,650000,500
11731,T. Fantacci,Italy,Empoli,23,CAM,CAM CM,1376,53,62,175.26,69.85,Left,90000,650
11732,S. Sissoko,France,Stade de Reims,21,RB,RB LB,1634,64,77,185.42,73.03,Right,800000,4000
11733,E. Simonsen,Denmark,Lyngby BK,19,RM,CM CAM RM,1376,51,68,170.18,59.87,Right,80000,2000
11734,P. Webber,England,Wigan Athletic,21,CB,CB,1317,57,72,182.88,69.85,Right,210000,700
11735,C. Lakin,England,Birmingham City,21,LM,CM,1724,61,71,182.88,69.85,Left,400000,2000
11736,B. Verbong,Netherlands,VVV-Venlo,20,GK,GK,914,59,69,185.42,82.1,Right,200000,700
11737,B. Williams,Wales,Barnsley,21,LB,LB,1633,65,75,177.8,74.84,Left,800000,3000
11738,Miguel,Spain,Real Valladolid CF,20,ST,ST,1629,67,80,180.34,77.11,Right,1500000,6000
11739,M. van de Meulenhof,Netherlands,PSV,20,GK,GK,939,61,74,180.34,82.1,Right,400000,1000
11740,A. Pears,England,Middlesbrough,22,GK,GK,924,65,76,185.42,79.83,Right,750000,3000
11741,C. Hendry,Scotland,St. Johnstone FC,22,ST,ST,1491,60,71,182.88,69.85,Right,350000,1000
11742,J. Doyle-Hayes,Republic of Ireland,Cheltenham Town,20,CAM,CM,1619,62,71,175.26,68.04,Right,475000,2000
11743,M. Clark,Wales,Port Vale,20,RWB,RB LB,1561,60,70,172.72,68.04,Right,300000,2000
11744,A. Collins,England,Exeter City,20,CAM,CM CDM,1724,62,73,175.26,63.05,Right,525000,2000
11745,J. Sparkes,England,Exeter City,19,LWB,LWB,1614,62,76,175.26,63.05,Left,600000,1000
11746,A. Hartridge,England,Exeter City,21,LB,LB CB,1383,57,70,182.88,69.85,Left,180000,2000
11747,B. Seymour,England,Exeter City,21,ST,ST,1335,52,65,172.72,63.05,Right,100000,2000
11748,D. Yearwood,England,New York Red Bulls,20,RM,CM,1812,63,77,175.26,63.05,Right,800000,1000
11749,E. Bwomono B,Uganda,Southend United,21,RB,RB RWB CB,1695,66,75,182.88,72.12,Right,900000,3000
11750,A. Anastasio,Italy,AC Monza,23,LWB,LB LM,1743,65,69,180.34,73.03,Left,625000,1000
11751,J. Champness,Australia,Newcastle Jets,21,LW,LM ST,1500,62,72,187.96,79.83,Left,500000,1000
11752,T. Reijnders,Netherlands,AZ Alkmaar,21,CAM,CAM CM,1748,65,73,185.42,73.03,Right,800000,2000
11753,C. Metcalfe,Australia,Melbourne City FC,20,CM,CM,1578,59,72,177.8,69.85,Right,300000,2000
11754,R. Najjarine,Australia,Melbourne City FC,20,CAM,LM CAM,1405,56,69,175.26,71.21,Left,170000,2000
11755,A. Manneh,Gambia,Górnik Zabrze,22,CAM,CDM,1745,62,72,170.18,60.78,Left,450000,1000
11756,Carles Pérez,Spain,Roma,22,CAM,RM RW,1805,73,84,172.72,74.84,Left,7000000,500
11757,S. Kiyine,Morocco,Lazio,22,CAM,CM LM RM,1829,68,79,182.88,74.84,Right,1500000,17000
11758,M. Léris,France,Sampdoria,22,CM,CM ST,1755,64,74,185.42,73.94,Right,725000,4000
11759,E. Vignato,Italy,Bologna,19,CAM,CAM,1709,69,80,175.26,67.13,Right,1800000,8000
11760,F. Torgnascioli,Uruguay,Pachuca,29,GK,GK,940,64,65,187.96,78.02,Left,375000,3000
11761,M. Merentiel,Uruguay,Defensa y Justicia,24,ST,ST CAM,1515,65,72,175.26,69.85,Right,775000,4000
11762,L. Maloney,Germany,Chemnitzer FC,19,CB,CB RB,1550,58,74,187.96,88.9,Right,250000,500
11763,Y. Çetin,Turkey,Hellas Verona,23,CB,CB,1498,69,79,187.96,89.81,Right,1500000,10000
11764,C. Lang,England,Motherwell,21,ST,ST RM,1591,63,71,180.34,73.03,Right,550000,2000
11765,C. Merrie,England,Wigan Athletic,21,CAM,CM CDM,1584,55,67,175.26,64.86,Left,140000,750
11766,N. Ngcobo,South Africa,Kaizer Chiefs,20,LM,LW LM CAM,1519,62,73,165.1,63.05,Left,525000,500
11767,M. Ellingsen,Norway,Molde FK,25,CM,CDM CB,1800,67,73,180.34,74.84,Left,950000,3000
11768,L. Reis,Netherlands,FC Barcelona,20,CM,CM CDM,1868,70,83,177.8,74.84,Right,3400000,44000
11769,T. van de Looi,Netherlands,Brescia,20,CM,CDM CM,1659,64,72,180.34,74.84,Right,625000,5000
11770,J. Sandoval,Uruguay,Argentinos Juniors,33,RB,RB,1806,71,71,180.34,72.12,Right,1100000,8000
11771,N. González,Argentina,VfB Stuttgart,22,ST,ST LM LW,1873,75,83,180.34,72.12,Left,10000000,22000
11772,A. Ba,France,FC Nantes,21,CM,CM CDM RM,1702,64,75,182.88,76.2,Right,775000,4000
11773,M. Napa,England,Oxford United,21,RM,RM,1409,57,71,167.64000000000001,64.86,Right,230000,1000
11774,S. Baptiste,Grenada,Brentford,22,CM,CM,1709,64,74,175.26,67.13,Right,725000,8000
11775,N. De la Cruz,Uruguay,River Plate,23,CAM,CM CAM LW,2160,77,86,167.64000000000001,64.86,Right,13500000,16000
11776,L. Spence,Scotland,Scunthorpe United,24,CM,CM CDM,1607,61,68,177.8,74.84,Right,350000,3000
11777,R. Yaremchuk,Ukraine,KAA Gent,24,ST,ST LW,1903,75,79,190.5,78.93,Right,9000000,21000
11778,Guo Quanbo,China PR,Beijing Sinobo Guoan FC,22,GK,GK,1324,61,71,182.88,81.19,Right,325000,2000
11779,R. Baku,Germany,1. FSV Mainz 05,22,RM,RB CM RM,1917,72,82,175.26,74.84,Right,4500000,15000
11780,G. Lloyd,England,Cheltenham Town,20,RM,ST,1473,56,72,172.72,63.05,Right,200000,2000
11781,M. Olivera,Uruguay,Getafe CF,22,LB,LB LM,1901,77,85,182.88,78.02,Left,11500000,22000
11782,I. Aaneba,France,RC Strasbourg Alsace,21,CB,RB RWB,1499,61,72,177.8,78.02,Right,400000,3000
11783,D. Tchamba,Cameroon,Strømsgodset IF,21,CB,CB,1532,64,76,190.5,78.93,Left,750000,950
11784,L. Rajot,France,Clermont Foot 63,22,LWB,CAM CDM,1741,65,74,177.8,68.04,Left,825000,2000
11785,K. Zohi,Mali,RC Strasbourg Alsace,23,RM,LM ST,1701,71,80,177.8,74.84,Right,3600000,16000
11786,M. O'Riley,England,Fulham,18,CM,CM,1526,59,79,187.96,77.11,Left,325000,2000
11787,A. Dini,Italy,Parma,24,GK,GK,962,63,71,182.88,74.84,Right,425000,4000
11788,G. Borello,Italy,Crotone,21,CAM,RW,1463,58,72,167.64000000000001,59.87,Left,275000,2000
11789,R. Muhammed,France,BB Erzurumspor,26,RM,ST,1614,60,61,182.88,82.1,Right,250000,3000
11790,C. Hudson-Odoi,England,Chelsea,19,RM,RW LW,1801,74,86,177.8,78.93,Right,10000000,41000
11791,M. Ojeda,Argentina,Godoy Cruz,21,LM,LM,1573,67,79,177.8,78.02,Left,1400000,3000
11792,S. Quigley,England,Barrow,27,ST,ST,1536,61,61,193.04,83.01,Right,275000,2000
11793,A. Denny,England,Salford City,20,CDM,CDM RB,1538,58,72,185.42,81.19,Right,275000,2000
11794,G. Poussin,France,FC Girondins de Bordeaux,21,GK,GK,949,67,79,182.88,84.82,Right,1100000,5000
11795,O. Mandanda,DR Congo,FC Girondins de Bordeaux,21,GK,GK,935,64,76,177.8,77.11,Right,650000,3000
11796,A. Gouiri,France,OGC Nice,20,ST,ST,1727,70,83,180.34,72.12,Right,3500000,15000
11797,Y. Atal,Algeria,OGC Nice,24,RM,RB RW,2102,79,85,175.26,66.22,Right,15500000,32000
11798,P. Nguinda,Cameroon,AS Monaco,23,RB,RB,1508,63,69,182.88,79.83,Right,450000,6000
11799,P. Sussek,Germany,FC Ingolstadt 04,20,RM,LM RM,1491,62,76,175.26,68.04,Right,675000,1000
11800,K. Ferguson,England,Sheffield United,19,CB,CB,1251,54,72,187.96,79.83,Right,140000,2000
11801,H. Gilmour,England,Tranmere Rovers,20,LM,CM,1646,60,72,175.26,62.14,Left,375000,1000
11802,S. Mallon,Republic of Ireland,Derry City,21,LM,LM,1620,61,74,177.8,63.96,Left,475000,550
11803,R. Norrington-Davies,Wales,Luton Town,21,LB,LB,1623,64,74,180.34,69.85,Left,650000,2000
11804,T. Smith,England,Swindon Town,21,ST,ST,1427,58,69,177.8,67.13,Right,220000,2000
11805,S. Laiton,France,AJ Auxerre,20,GK,GK,1092,60,77,190.5,84.82,Right,375000,600
11806,L. Ranieri,Italy,SPAL,21,CB,CB LB,1483,61,75,185.42,73.94,Left,525000,4000
11807,T. Campbell,England,Stoke City,20,ST,ST RM,1702,67,80,182.88,74.84,Left,1500000,8000
11808,J. Bursik,England,Doncaster Rovers,19,GK,GK,1274,60,75,187.96,74.84,Left,375000,650
11809,A. Koiki,England,Burnley,20,LB,LB,1647,62,74,187.96,81.19,Left,500000,6000
11810,H. Traorè,Ivory Coast,Sassuolo,20,CAM,CAM CM,1896,71,85,177.8,68.04,Right,5000000,14000
11811,M. Olivieri,Italy,Empoli,21,ST,LW,1455,60,75,177.8,73.03,Right,450000,650
11812,M. Roffo,Argentina,Boca Juniors,20,GK,GK,982,64,80,182.88,81.19,Right,850000,2000
11813,M. Tramoni,France,Cagliari,20,RM,LM CAM,1784,68,76,175.26,68.04,Right,1300000,9000
11814,L. Amarilla,Paraguay,Minnesota United FC,24,ST,ST,1551,64,68,182.88,77.11,Right,600000,2000
11815,J. Repas,Slovenia,Stade Malherbe Caen,22,CAM,LM,1715,68,75,170.18,68.04,Left,1300000,4000
11816,Dai Wai-Tsun,Hong Kong,Shenzhen FC,20,CM,CM,1536,57,69,175.26,74.84,Right,180000,2000
11817,E. Henderson,Scotland,Heart of Midlothian,19,RM,ST RM RW,1589,62,76,175.26,74.84,Right,650000,1000
11818,O. Shaw,Scotland,Ross County FC,22,ST,ST,1444,62,73,187.96,72.12,Right,525000,2000
11819,F. Murray,Scotland,Hibernian,21,CAM,LM CAM,1501,59,74,172.72,68.04,Right,350000,1000
11820,A. Akbulut,Turkey,Trabzonspor,19,GK,GK,961,63,78,195.57999999999998,82.1,Left,675000,2000
11821,M. Dulca,Romania,Chindia Târgovişte,21,RM,CDM CM,1651,60,74,182.88,78.02,Right,425000,750
11822,J. Bustillos,Argentina,Boca Juniors,22,GK,GK,913,59,67,185.42,87.09,Right,180000,2000
11823,L. Sørensen,Denmark,Milton Keynes Dons,20,CDM,CDM CM,1669,63,75,185.42,78.02,Right,625000,2000
11824,E. Amenyido,Germany,VfL Osnabrück,22,RM,RM LM ST,1693,67,76,180.34,74.84,Right,1200000,4000
11825,E. Elizalde,Uruguay,Pescara,19,LB,LB CB,1410,59,75,177.8,78.02,Left,300000,500
11826,M. Yandaş,Turkey,Fenerbahçe SK,25,CAM,CAM CM,1795,72,75,175.26,73.03,Right,3900000,38000
11827,E. Apeh,Nigeria,CD Tenerife,23,ST,ST,1588,68,77,182.88,83.01,Right,1400000,4000
11828,Leonardo Rocha,Portugal,KAS Eupen,22,ST,ST,1425,66,73,200.66,92.08,Right,925000,4000
11829,B. Bayazit,Netherlands,Vitesse,21,GK,GK,823,62,72,185.42,76.2,Right,400000,2000
11830,Berrocal,Spain,CD Mirandés,20,CB,CB,1532,64,78,182.88,72.12,Right,925000,1000
11831,José Lara,Spain,Sevilla FC,20,CAM,RM LM,1546,64,78,162.56,59.87,Left,1000000,4000
11832,C. Coventry,Republic of Ireland,West Ham United,20,CM,CM CDM,1564,59,74,175.26,64.86,Right,350000,4000
11833,A. Scully,Republic of Ireland,Lincoln City,21,RM,ST CAM LM,1613,60,71,175.26,66.22,Right,350000,2000
11834,A. Alese,England,West Ham United,19,CB,CB,1339,56,69,185.42,69.85,Right,160000,3000
11835,Genaro,Spain,Sevilla FC,22,CM,CM CB,1646,60,70,182.88,71.21,Right,325000,3000
11836,M. Villasanti,Paraguay,Paraguay,23,CM,CM RM,1765,69,75,177.8,68.95,Right,0,0
11837,R. Menayese,Wales,Mansfield Town,22,CB,CB,1446,63,69,190.5,79.83,Right,450000,3000
11838,J. van der Sar,Netherlands,ADO Den Haag,19,GK,GK,1063,60,72,185.42,74.84,Right,275000,1000
11839,N. Sessa,Germany,1. FC Kaiserslautern,24,LM,CAM ST,1631,64,70,172.72,67.13,Left,625000,1000
11840,M. Kapı,Turkey,LOSC Lille,17,CAM,CM,1598,57,75,167.64000000000001,62.14,Right,200000,650
11841,C. Alemán,Ecuador,Barcelona Sporting Club,23,LM,LM RM,1550,65,71,185.42,72.12,Left,750000,500
11842,Francis B,Spain,Real Betis,24,RM,RM RWB RB,1858,72,78,175.26,72.12,Right,4300000,14000
11843,Unai Núñez,Spain,Athletic Club de Bilbao,23,CB,CB,1536,78,84,185.42,81.19,Right,13000000,20000
11844,Idrisa Sambú,Portugal,Gaz Metan Mediaş,22,RM,RM CAM LM,1562,62,70,185.42,76.2,Right,450000,2000
11845,Sergio Benito,Spain,Rayo Vallecano,21,ST,ST,1548,63,77,172.72,73.03,Right,825000,2000
11846,Javi Vázquez,Spain,Sevilla FC,19,LWB,LWB LB,1455,61,74,180.34,72.12,Right,425000,2000
11847,B. Adekanye,Netherlands,Lazio,21,RW,RW LW,1539,64,78,175.26,69.85,Left,1000000,9000
11848,F. Aksoy,Turkey,Alanyaspor,22,CB,CDM CB RB,1521,66,74,187.96,78.02,Right,875000,4000
11849,G. Johnston,Scotland,Feyenoord,21,CB,CB,1507,63,75,180.34,78.02,Left,600000,2000
11850,C. Kelleher,Republic of Ireland,Liverpool,21,GK,GK,965,61,75,187.96,73.94,Right,475000,6000
11851,E. Eze,Nigeria,SK Sturm Graz,23,ST,ST,1608,65,70,185.42,79.83,Right,725000,5000
11852,Miranda,Spain,FC Barcelona,20,LB,LB LWB,1681,70,81,185.42,78.93,Left,2800000,39000
11853,D. Ljubicic,Austria,SK Rapid Wien,22,CDM,CDM CM CB,1872,71,77,185.42,73.94,Right,3000000,15000
11854,Li Chenglong,China PR,Beijing Renhe FC,22,RB,RB LB,1365,55,64,180.34,63.05,Right,110000,2000
11855,R. Hernández,Venezuela,Aberdeen,22,RB,RB RM,1598,65,74,172.72,69.85,Right,750000,2000
11856,Dani Escriche,Spain,SD Huesca,22,ST,ST CAM,1598,66,74,177.8,74.84,Right,950000,6000
11857,G. McAuley,Republic of Ireland,Bohemian FC,20,ST,ST LM RM,1424,58,73,190.5,73.94,Right,275000,500
11858,L. Millar,Canada,Canada,20,ST,LW,1537,64,76,185.42,78.93,Right,0,0
11859,N. Phillips,England,Liverpool,23,CB,CB,1459,68,75,190.5,83.91,Right,1100000,22000
11860,Junior Messias,Brazil,Crotone,29,CF,CF ST,1575,64,64,177.8,69.85,Left,450000,4000
11861,R. de la Rosa,Mexico,Pachuca,20,ST,ST,1425,60,75,177.8,73.03,Right,450000,2000
11862,L. Pintor,France,ESTAC Troyes,19,ST,LM RM,1609,66,78,177.8,66.22,Right,1100000,2000
11863,Fabio González,Spain,UD Las Palmas,23,CDM,CDM CM,1746,68,76,175.26,64.86,Right,1200000,4000
11864,M. Estrada,Ecuador,Deportivo Toluca,24,ST,ST,1558,68,74,182.88,78.02,Right,1200000,8000
11865,G. McGregor,England,Crystal Palace,21,CM,CM,1573,57,71,175.26,71.21,Right,230000,6000
11866,F. Jno-Baptiste,England,Östersunds FK,20,ST,ST,1526,61,74,182.88,73.94,Right,500000,800
11867,T. Mitchell,England,Crystal Palace,20,LB,LB,1581,64,77,175.26,64.86,Left,800000,7000
11868,Pedro Gonçalves,Portugal,Sporting CP,22,CAM,CM,1942,76,87,172.72,58.06,Right,13000000,12000
11869,N. Tenaglia,Argentina,Club Atlético Talleres,24,RB,RB LB,1767,72,77,182.88,71.21,Right,3700000,9000
11870,M. Melluso,Argentina,Gimnasia y Esgrima La Plata,22,LB,LB,1759,71,82,170.18,63.05,Left,3700000,9000
11871,Steven Prieto,Spain,Real Oviedo,22,ST,ST,1548,64,73,182.88,78.02,Right,700000,3000
11872,J. García,Argentina,Unión de Santa Fe,27,ST,ST,1703,71,72,180.34,82.1,Right,2800000,10000
11873,J. Kayode,Nigeria,Carlisle United,20,ST,ST,1339,56,70,190.5,74.84,Right,200000,2000
11874,J. Carranza,Argentina,Inter Miami,20,ST,ST,1642,68,77,175.26,74.84,Right,1400000,3000
11875,M. Mattsson,Denmark,Silkeborg IF,20,RM,CAM CM,1529,63,75,175.26,62.14,Right,650000,2000
11876,M. Saracchi,Uruguay,Galatasaray SK,22,LB,LB,1998,75,82,172.72,68.04,Left,8500000,42000
11877,D. Mandroiu,Republic of Ireland,Bohemian FC,21,CAM,CAM,1762,63,73,177.8,73.03,Right,600000,600
11878,M. Sanders,England,Brighton & Hove Albion,21,CM,CM RB,1557,59,73,175.26,79.83,Right,350000,6000
11879,J. Moreno,Venezuela,DC United,26,CDM,CDM CM,1848,70,73,175.26,73.03,Right,2000000,5000
11880,M. Cooper,England,Plymouth Argyle,20,GK,GK,925,59,73,185.42,74.84,Right,300000,1000
11881,D. Vavro,Slovakia,Lazio,24,CB,CB,1689,71,78,187.96,81.19,Right,3000000,24000
11882,N. Estévez,Argentina,Spezia,24,RM,CM RM CDM,1892,66,71,180.34,74.84,Right,850000,500
11883,Kike Hermoso,Spain,SD Huesca,20,CB,CB,1397,63,73,190.5,76.2,Right,550000,3000
11884,E. Sabbi,United States,Odense Boldklub,22,CAM,RM,1786,69,78,177.8,69.85,Right,1600000,6000
11885,F. Carballo,Uruguay,Nacional de Montevideo,23,CM,CM CDM,1911,71,79,177.8,72.12,Right,3400000,500
11886,J. Ardaiz,Uruguay,FC Lugano,21,ST,ST,1547,64,71,182.88,81.19,Left,650000,2000
11887,E. Ebosse,France,Angers SCO,21,LB,LB,1537,63,73,185.42,74.84,Left,550000,3000
11888,Adrián López,Spain,RCD Espanyol,21,GK,GK,1019,64,75,185.42,73.03,Right,625000,1000
11889,A. Vetrih,Slovenia,Çaykur Rizespor,29,CM,CM CDM,1757,64,64,180.34,74.84,Right,425000,4000
11890,T. Chancalay,Argentina,Club Atlético Colón,21,CAM,RM LM ST,1765,69,79,177.8,73.94,Right,1700000,5000
11891,B. Galván,Argentina,Colorado Rapids,19,RM,LM ST,1647,62,77,165.1,63.96,Right,650000,900
11892,S. Diarra,Mali,Gazişehir Gaziantep F.K.,25,CM,CM RM CAM,1842,69,74,172.72,62.14,Right,1400000,7000
11893,C. Gregory,England,Shrewsbury,20,GK,GK,1011,55,71,193.04,74.84,Right,150000,800
11894,J. Brown,England,Huddersfield Town,21,LB,LB,1567,65,79,175.26,72.12,Left,1100000,5000
11895,J. Dinzeyi,England,Tottenham Hotspur,19,CB,CB,1377,61,77,182.88,83.01,Right,500000,6000
11896,G. Marsh,England,Tottenham Hotspur,21,CDM,CDM RB,1611,62,74,177.8,68.04,Right,500000,8000
11897,J. Roles,Cyprus,Burton Albion,21,CAM,CAM CM,1645,63,77,182.88,69.85,Left,800000,2000
11898,K. Bennetts,England,Borussia Mönchengladbach,21,LM,LM RM,1644,63,74,182.88,73.03,Left,625000,5000
11899,T. Eyoma,England,Lincoln City,20,CB,CB RB,1529,61,76,182.88,76.2,Right,525000,2000
11900,O. Skipp,England,Norwich City,19,CDM,CDM CM,1686,68,84,177.8,69.85,Right,1800000,2000
11901,J. Romero,Argentina,Atlético Tucumán,19,ST,ST,1470,57,73,160.02,58.97,Right,220000,1000
11902,C. Andrew,England,Lincoln City,19,GK,GK,847,53,65,185.42,81.19,Right,80000,600
11903,J. Tuominen,Finland,BK Häcken,24,ST,ST RW,1578,61,68,185.42,73.94,Right,350000,1000
11904,Gorosabel,Spain,Real Sociedad,23,RB,RB,1673,71,77,175.26,69.85,Right,2900000,13000
11905,A. Canbaz,Turkey,Trabzonspor,22,CAM,CAM LM CM,1565,61,72,182.88,73.03,Right,425000,4000
11906,Diego Pampín,Spain,RC Celta,20,LB,LB LM,1476,61,77,175.26,71.21,Left,525000,2000
11907,M. Carabajal,Argentina,Arsenal de Sarandí,23,CB,CB RB CDM,1752,68,76,182.88,73.94,Right,1200000,4000
11908,A. Romero,Venezuela,Crotone,24,CDM,CM,1642,64,70,182.88,83.01,Right,600000,3000
11909,A. Dávila,Uruguay,Liverpool Fútbol Club,21,ST,ST RW,1523,63,70,177.8,72.12,Left,525000,500
11910,N. Maraš,Serbia,UD Almería,24,CB,CB,1568,70,78,187.96,78.93,Right,2400000,5000
11911,Moreto Cassamá,Guinea Bissau,Stade de Reims,22,CAM,CDM,1845,65,76,165.1,63.05,Right,850000,5000
11912,O. Reabciuk,Moldova,FC Paços de Ferreira,22,LB,LB,1556,65,75,180.34,72.12,Left,775000,2000
11913,P. Smyth,Northern Ireland,Queens Park Rangers,22,RM,ST RW LW,1658,63,72,175.26,72.12,Right,575000,2000
11914,S. Benda,Germany,Swansea City,21,GK,GK,902,64,76,193.04,83.01,Right,650000,3000
